year,temprature,avarage
2010/1/1,3.737,
2010/2/1,4.399,
2010/3/1,6.738,
2010/4/1,9.671,
2010/5/1,12.406,
2010/6/1,14.421,
2010/7/1,15.213,
2010/8/1,14.768,
2010/9/1,12.863,
2010/10/1,10.442,
2010/11/1,7.487,
2010/12/1,4.292,9.7
2011/1/1,3.282,
2011/2/1,3.743,
2011/3/1,6.101,
2011/4/1,9.483,
2011/5/1,11.986,
2011/6/1,14.37,
2011/7/1,15.482,
2011/8/1,15.012,
2011/9/1,12.912,
2011/10/1,10.352,
2011/11/1,6.814,
2011/12/1,4.655,9.52
2012/1/1,3.157,
2012/2/1,3.628,
2012/3/1,6.023,
2012/4/1,9.676,
2012/5/1,12.59,
2012/6/1,14.492,
2012/7/1,15.076,
2012/8/1,14.72,
2012/9/1,13.04,
2012/10/1,10.428,
2012/11/1,7.156,
2012/12/1,4.102,9.51
2013/1/1,3.685,
2013/2/1,4.222,
2013/3/1,6.261,
2013/4/1,9.044,
2013/5/1,12.195,
2013/6/1,14.568,
2013/7/1,15.003,
2013/8/1,14.742,
2013/9/1,13.154,
2013/10/1,10.256,
2013/11/1,7.424,
2013/12/1,4.724,9.61
2014/1/1,3.732,
2014/2/1,3.5,
2014/3/1,6.378,
2014/4/1,9.589,
2014/5/1,12.582,
2014/6/1,14.335,
2014/7/1,14.873,
2014/8/1,14.875,
2014/9/1,13.091,
2014/10/1,10.33,
2014/11/1,6.713,
2014/12/1,4.85,9.57
2015/1/1,3.881,
2015/2/1,4.664,
2015/3/1,6.74,
2015/4/1,9.313,
2015/5/1,12.312,
2015/6/1,14.505,
2015/7/1,15.051,
2015/8/1,14.755,
2015/9/1,12.999,
2015/10/1,10.801,
2015/11/1,7.433,
2015/12/1,5.518,9.83
